,time,open,high,low,close,volume,ticker
0,2014-01-02,10760,10790,10760,10790,2410,IMP
1,2014-01-03,10760,10840,10670,10840,13010,IMP
2,2014-01-06,10870,11560,10870,11540,55630,IMP
3,2014-01-07,11400,11540,11330,11540,20980,IMP
4,2014-01-08,11370,11830,11330,11800,43410,IMP
5,2014-01-09,12110,12110,11620,11650,58460,IMP
6,2014-01-10,11680,11830,11680,11680,67400,IMP
7,2014-01-13,11680,12370,11650,11650,22490,IMP
8,2014-01-14,11560,11710,11560,11650,51480,IMP
9,2014-01-15,11710,12460,11710,12460,44560,IMP
10,2014-01-16,13320,13320,13320,13320,25610,IMP
11,2014-01-17,14100,14100,13410,13760,162880,IMP
12,2014-01-20,13700,13820,12980,13550,72790,IMP
13,2014-01-21,13850,14420,13530,14420,73610,IMP
14,2014-01-22,14420,14710,13820,13870,135440,IMP
15,2014-01-23,13870,14390,13850,14040,63280,IMP
16,2014-01-24,14130,14570,14130,14280,78480,IMP
17,2014-01-27,14420,14420,14160,14330,50580,IMP
18,2014-02-06,14130,14330,14070,14280,124760,IMP
19,2014-02-07,14280,15140,14280,14710,96230,IMP
20,2014-02-10,15000,15710,14850,15710,35310,IMP
21,2014-02-11,15860,16590,15710,15860,57190,IMP
22,2014-02-12,16149,16730,15860,16730,41360,IMP
23,2014-02-13,17020,17020,15860,16440,85910,IMP
24,2014-02-14,16440,16440,16000,16440,108020,IMP
25,2014-02-17,16440,16440,16149,16300,41090,IMP
26,2014-02-18,16440,16440,15860,16149,45940,IMP
27,2014-02-19,16149,16440,16000,16440,55640,IMP
28,2014-02-20,16590,16590,15570,15570,119320,IMP
29,2014-02-21,15860,16000,15430,16000,35300,IMP
30,2014-02-24,16000,16000,15860,16000,21020,IMP
31,2014-02-25,15860,16149,15860,16149,36570,IMP
32,2014-02-26,16300,16300,15570,16000,18350,IMP
33,2014-02-27,16149,16149,15860,16000,27830,IMP
34,2014-02-28,15570,15860,15570,15860,19130,IMP
35,2014-03-03,15860,15860,15430,15430,13000,IMP
36,2014-03-04,15430,15430,15000,15140,18100,IMP
37,2014-03-05,15570,16149,15570,16149,35120,IMP
38,2014-03-06,16440,17160,16440,17160,67710,IMP
39,2014-03-07,17740,17740,17160,17300,37000,IMP
40,2014-03-10,17160,17160,16870,17160,27210,IMP
41,2014-03-11,17160,17300,17020,17300,27980,IMP
42,2014-03-12,17590,18450,17590,18170,94390,IMP
43,2014-03-13,18310,18310,17590,18170,5460,IMP
44,2014-03-14,18310,18750,18020,18750,68870,IMP
45,2014-03-17,18170,18750,18170,18600,11580,IMP
46,2014-03-18,18600,18750,18170,18600,19350,IMP
47,2014-03-19,19610,19760,19040,19470,54590,IMP
48,2014-03-20,20190,20760,19610,19760,146050,IMP
49,2014-03-21,20190,20190,19180,19470,42300,IMP
50,2014-03-24,19320,19760,19320,19610,37250,IMP
51,2014-03-25,19470,19470,18890,19040,33660,IMP
52,2014-03-26,18890,18890,17740,17880,82080,IMP
53,2014-03-27,17880,17880,17160,17740,29510,IMP
54,2014-03-28,17450,18750,17450,18020,108920,IMP
55,2014-03-31,18170,18310,17880,18020,40830,IMP
56,2014-04-01,17880,18170,17740,18020,31840,IMP
57,2014-04-02,17880,17880,17160,17300,31250,IMP
58,2014-04-03,17880,18170,17590,17880,26350,IMP
59,2014-04-04,17880,18310,17740,17880,10150,IMP
60,2014-04-07,17880,18020,17880,18020,10340,IMP
61,2014-04-08,17880,18170,17880,18170,9350,IMP
62,2014-04-10,17880,18170,17880,18020,20540,IMP
63,2014-04-11,17880,18020,17590,17740,13690,IMP
64,2014-04-14,17880,17880,17590,17590,59640,IMP
65,2014-04-15,17590,17740,17450,17590,7720,IMP
66,2014-04-16,17590,17590,16870,17590,32710,IMP
67,2014-04-17,17740,17740,17450,17590,10310,IMP
68,2014-04-18,17590,17590,16870,17160,16130,IMP
69,2014-04-21,17020,17020,16149,16149,34850,IMP
70,2014-04-22,16149,16730,15140,16000,39570,IMP
71,2014-04-23,16000,16730,16000,16149,12530,IMP
72,2014-04-24,16300,16300,15860,16300,5720,IMP
73,2014-04-25,16000,16730,16000,16730,11220,IMP
74,2014-04-28,16870,16870,16440,16440,5080,IMP
75,2014-04-29,16440,16590,16440,16590,27140,IMP
76,2014-05-05,16730,16730,16000,16590,18160,IMP
77,2014-05-06,16149,16440,15570,16149,15290,IMP
78,2014-05-07,15860,16300,15860,16000,4430,IMP
79,2014-05-08,16000,16000,15000,15000,79920,IMP
80,2014-05-09,15280,15430,15000,15280,16730,IMP
81,2014-05-12,15000,15000,14220,14220,27920,IMP
82,2014-05-13,14130,14280,13850,13990,20110,IMP
83,2014-05-14,14420,14850,13990,14710,26680,IMP
84,2014-05-15,15520,15520,14770,14890,15680,IMP
85,2014-05-16,14920,15070,14890,15070,18950,IMP
86,2014-05-19,15520,15520,14770,15370,27120,IMP
87,2014-05-20,14920,15220,14770,14920,22530,IMP
88,2014-05-21,14920,15670,14920,15670,7620,IMP
89,2014-05-22,15670,16260,15370,15520,15520,IMP
90,2014-05-23,15520,15520,15220,15220,8440,IMP
91,2014-05-26,15220,15370,15220,15370,920,IMP
92,2014-05-27,15370,15820,15220,15670,51290,IMP
93,2014-05-28,15670,16110,15670,15820,8380,IMP
94,2014-05-29,15670,15820,15670,15820,1240,IMP
95,2014-05-30,15520,15960,15520,15670,9460,IMP
96,2014-06-02,15520,15520,15220,15520,13040,IMP
97,2014-06-03,15670,15670,15220,15520,12730,IMP
98,2014-06-04,15520,15670,15220,15520,48140,IMP
99,2014-06-05,15370,15670,15220,15670,16700,IMP
100,2014-06-06,15670,15960,15670,15960,30580,IMP
101,2014-06-09,16110,16110,15820,15960,1330,IMP
102,2014-06-10,15820,15820,15670,15820,28710,IMP
103,2014-06-11,15670,15960,15670,15820,32510,IMP
104,2014-06-12,15960,15960,15670,15820,6310,IMP
105,2014-06-13,16110,16110,15820,15820,18160,IMP
106,2014-06-16,15670,15820,15670,15820,19930,IMP
107,2014-06-17,15670,15820,15520,15820,25620,IMP
108,2014-06-18,15820,15820,15670,15820,41210,IMP
109,2014-06-19,15820,15820,15520,15670,14980,IMP
110,2014-06-20,15520,15820,15520,15670,13750,IMP
111,2014-06-23,15820,15820,15520,15670,2240,IMP
112,2014-06-24,15670,15960,15670,15820,33230,IMP
113,2014-06-25,15820,15960,15820,15960,26150,IMP
114,2014-06-26,15960,16110,15820,16110,49160,IMP
115,2014-06-27,15820,15960,15820,15960,37200,IMP
116,2014-06-30,15960,16110,15820,16110,40480,IMP
117,2014-07-01,15960,16410,15960,16410,17520,IMP
118,2014-07-02,16260,17450,16110,17450,37830,IMP
119,2014-07-03,17450,17450,17010,17160,9540,IMP
120,2014-07-04,17010,17160,16710,16860,9050,IMP
121,2014-07-07,16860,16860,16410,16560,38160,IMP
122,2014-07-08,16560,16560,16110,16560,17990,IMP
123,2014-07-09,16710,16710,16260,16410,4960,IMP
124,2014-07-10,16410,16410,16260,16260,9980,IMP
