,time,open,high,low,close,volume,ticker
0,2014-01-02,9910,9910,9850,9850,12650,OPC
1,2014-01-03,9150,9910,9150,9910,2160,OPC
2,2014-01-06,9450,9850,9450,9850,1090,OPC
3,2014-01-07,9850,9850,9850,9850,200,OPC
4,2014-01-08,9450,9910,9450,9850,1290,OPC
5,2014-01-09,9850,9850,9760,9760,2210,OPC
6,2014-01-10,9680,9760,9610,9760,2450,OPC
7,2014-01-13,9910,9910,9910,9910,10,OPC
8,2014-01-14,9760,9760,9760,9760,500,OPC
9,2014-01-15,9910,10220,9910,10220,510,OPC
10,2014-01-16,10070,10070,10070,10070,1200,OPC
11,2014-01-17,10070,10070,10070,10070,0,OPC
12,2014-01-20,9760,9910,9760,9910,9810,OPC
13,2014-01-21,9850,9850,9850,9850,1500,OPC
14,2014-01-22,9910,9910,9910,9910,10,OPC
15,2014-01-23,9910,9910,9910,9910,0,OPC
16,2014-01-24,10530,10530,9850,10360,140,OPC
17,2014-01-27,10360,10360,10360,10360,0,OPC
18,2014-02-06,10360,10360,10360,10360,20,OPC
19,2014-02-07,9910,9990,9760,9760,18340,OPC
20,2014-02-10,9760,10070,9760,10070,100,OPC
21,2014-02-11,10360,10360,9910,9910,1150,OPC
22,2014-02-12,9760,9910,9760,9850,22010,OPC
23,2014-02-13,9760,9850,9150,9150,27780,OPC
24,2014-02-14,9760,9760,9230,9230,4030,OPC
25,2014-02-17,9230,9850,9230,9850,13090,OPC
26,2014-02-18,10070,10070,9310,9310,8510,OPC
27,2014-02-19,9760,9760,9760,9760,10,OPC
28,2014-02-20,9390,9680,9390,9610,30,OPC
29,2014-02-21,9610,9760,9610,9680,940,OPC
30,2014-02-24,9760,9760,9760,9760,2350,OPC
31,2014-02-25,9760,9760,9680,9760,1000,OPC
32,2014-02-26,9610,9760,9610,9680,1540,OPC
33,2014-02-27,9610,9760,9610,9760,2200,OPC
34,2014-02-28,9610,9850,9610,9850,900,OPC
35,2014-03-03,9850,9850,9760,9850,620,OPC
36,2014-03-04,9760,9760,9680,9760,1450,OPC
37,2014-03-05,9610,9760,9610,9760,2010,OPC
38,2014-03-06,9680,9850,9680,9850,380,OPC
39,2014-03-07,9910,9910,9680,9680,7350,OPC
40,2014-03-10,9910,9910,9680,9680,2700,OPC
41,2014-03-11,9450,9910,9390,9760,6670,OPC
42,2014-03-12,9760,9760,9760,9760,0,OPC
43,2014-03-13,9760,9760,9610,9760,2100,OPC
44,2014-03-14,9760,9760,9760,9760,6100,OPC
45,2014-03-17,9760,9760,9760,9760,9600,OPC
46,2014-03-18,9760,9760,9760,9760,4540,OPC
47,2014-03-19,9680,9760,9680,9680,810,OPC
48,2014-03-20,9680,9680,9610,9680,6530,OPC
49,2014-03-21,9680,9850,9680,9760,36310,OPC
50,2014-03-24,9760,9850,9760,9850,16400,OPC
51,2014-03-25,9760,9760,9610,9760,2150,OPC
52,2014-03-26,9760,9850,9760,9760,60880,OPC
53,2014-03-27,9760,9910,9610,9910,11420,OPC
54,2014-03-28,9760,9760,9680,9760,4120,OPC
55,2014-03-31,9610,9910,9610,9910,15830,OPC
56,2014-04-01,9610,9850,9610,9850,1210,OPC
57,2014-04-02,9990,9990,9610,9610,510,OPC
58,2014-04-03,9760,9990,9760,9990,3610,OPC
59,2014-04-04,9850,9850,9850,9850,1510,OPC
60,2014-04-07,10530,10530,10360,10530,60670,OPC
61,2014-04-08,10990,10990,10530,10680,8350,OPC
62,2014-04-10,10990,11140,10820,10990,1250,OPC
63,2014-04-11,10680,10680,10530,10530,6950,OPC
64,2014-04-14,10990,10990,10360,10360,5540,OPC
65,2014-04-15,10530,10530,10220,10220,9660,OPC
66,2014-04-16,10530,10530,9990,10070,2090,OPC
67,2014-04-17,10360,10360,10220,10220,240,OPC
68,2014-04-18,10360,10360,10070,10070,9390,OPC
69,2014-04-21,10070,10070,9910,10070,3320,OPC
70,2014-04-22,9910,10070,9910,10070,4050,OPC
71,2014-04-23,9910,10530,9910,10220,2780,OPC
72,2014-04-24,9910,10220,9910,9910,5460,OPC
73,2014-04-25,9910,10530,9760,10530,4360,OPC
74,2014-04-28,10530,10530,10070,10220,90,OPC
75,2014-04-29,9910,10530,9910,10360,230,OPC
76,2014-05-05,10360,10360,10360,10360,590,OPC
77,2014-05-06,10450,10450,10450,10450,10,OPC
78,2014-05-07,10060,10140,10060,10140,860,OPC
79,2014-05-08,9900,9900,9430,9430,6960,OPC
80,2014-05-09,9430,9430,9360,9430,620,OPC
81,2014-05-12,9430,9430,8810,8810,3300,OPC
82,2014-05-13,8340,8730,8270,8270,8360,OPC
83,2014-05-14,8100,8810,8029,8810,8150,OPC
84,2014-05-15,8810,9200,8340,9200,5390,OPC
85,2014-05-16,8570,9200,8570,9200,590,OPC
86,2014-05-19,9200,9360,9200,9360,410,OPC
87,2014-05-20,8730,9360,8730,9280,2010,OPC
88,2014-05-21,9200,9280,9200,9280,2420,OPC
89,2014-05-22,9360,9510,9360,9510,250,OPC
90,2014-05-23,9510,9670,9040,9670,330,OPC
91,2014-05-26,9670,9750,9670,9750,1260,OPC
92,2014-05-27,9830,9830,9830,9830,6620,OPC
93,2014-05-28,9830,9830,9830,9830,220,OPC
94,2014-05-29,9670,9830,9670,9830,2980,OPC
95,2014-05-30,9670,9830,9670,9750,2310,OPC
96,2014-06-02,9900,9900,9590,9900,2260,OPC
97,2014-06-03,9900,9900,9900,9900,0,OPC
