,time,open,high,low,close,volume,ticker
0,2014-01-02,5980,6240,5980,6240,50,VMD
1,2014-01-03,6240,6240,6240,6240,100,VMD
2,2014-01-06,6340,6340,6340,6340,860,VMD
3,2014-01-07,6340,6340,6340,6340,0,VMD
4,2014-01-08,6090,6340,6090,6340,200,VMD
5,2014-01-09,6440,6440,6090,6340,730,VMD
6,2014-01-10,6340,6340,6140,6140,3110,VMD
7,2014-01-13,6090,6340,6090,6340,110,VMD
8,2014-01-14,6340,6340,6090,6340,2090,VMD
9,2014-01-15,6340,6340,6240,6340,3090,VMD
10,2014-01-16,6340,6340,6340,6340,3200,VMD
11,2014-01-17,6540,6540,6190,6340,1030,VMD
12,2014-01-20,6390,6390,6140,6390,2100,VMD
13,2014-01-21,6340,6590,6090,6340,3430,VMD
14,2014-01-22,6390,6440,6340,6340,5500,VMD
15,2014-01-23,6340,6340,6340,6340,160,VMD
16,2014-01-24,6390,6390,6390,6390,4400,VMD
17,2014-01-27,6590,6590,6590,6590,1000,VMD
18,2014-02-06,6490,6590,6490,6590,310,VMD
19,2014-02-07,6540,6540,6540,6540,300,VMD
20,2014-02-10,6640,6800,6590,6800,5050,VMD
21,2014-02-11,6850,6850,6690,6800,2710,VMD
22,2014-02-12,6750,6800,6750,6800,2310,VMD
23,2014-02-13,6800,6900,6800,6900,80480,VMD
24,2014-02-14,6900,7250,6900,7200,9570,VMD
25,2014-02-17,7050,7660,7050,7660,43030,VMD
26,2014-02-18,8170,8170,8170,8170,96030,VMD
27,2014-02-19,8720,8720,8720,8720,125760,VMD
28,2014-02-20,9230,9230,8720,8770,76440,VMD
29,2014-02-21,8220,8720,8170,8470,63650,VMD
30,2014-02-24,8109,8370,8109,8370,16150,VMD
31,2014-02-25,8770,8770,8270,8270,29700,VMD
32,2014-02-26,8170,8270,8060,8060,31520,VMD
33,2014-02-27,8109,8620,8109,8109,32390,VMD
34,2014-02-28,8370,8370,8109,8220,23430,VMD
35,2014-03-03,8370,8670,8270,8270,34000,VMD
36,2014-03-04,8170,8320,8109,8320,20770,VMD
37,2014-03-05,8570,8720,8520,8670,20590,VMD
38,2014-03-06,8620,8620,8370,8620,1110,VMD
39,2014-03-07,8570,8670,8520,8570,16610,VMD
40,2014-03-10,8320,8570,8320,8470,16130,VMD
41,2014-03-11,8470,8470,8270,8470,24190,VMD
42,2014-03-12,8520,8620,8470,8520,17760,VMD
43,2014-03-13,8520,8520,8470,8470,14500,VMD
44,2014-03-14,8620,8620,8420,8420,16530,VMD
45,2014-03-17,8370,8570,8270,8570,59610,VMD
46,2014-03-18,8620,8620,8320,8320,35900,VMD
47,2014-03-19,8370,8570,8370,8570,6030,VMD
48,2014-03-20,8320,8570,8320,8420,13190,VMD
49,2014-03-21,8320,8370,8220,8320,7890,VMD
50,2014-03-24,8320,8520,8320,8370,17610,VMD
51,2014-03-25,8470,8520,8220,8220,5560,VMD
52,2014-03-26,8109,8470,8010,8010,7810,VMD
53,2014-03-27,8170,8370,8060,8370,2250,VMD
54,2014-03-28,8370,8370,8370,8370,7050,VMD
55,2014-03-31,8220,8320,8170,8320,10940,VMD
56,2014-04-01,8170,8220,8109,8109,27690,VMD
57,2014-04-02,8060,8370,8060,8170,17830,VMD
58,2014-04-03,8170,8170,8170,8170,0,VMD
59,2014-04-04,8010,8170,8010,8170,2310,VMD
60,2014-04-07,7960,8470,7960,8470,1510,VMD
61,2014-04-08,8170,8220,8170,8170,5980,VMD
62,2014-04-10,8370,8370,8370,8370,10,VMD
63,2014-04-11,8220,8220,7960,8220,40,VMD
64,2014-04-14,8220,8220,8109,8170,7270,VMD
65,2014-04-15,8109,8109,8109,8109,8840,VMD
66,2014-04-16,8109,8109,8060,8060,5850,VMD
67,2014-04-17,8320,8570,8220,8570,70,VMD
68,2014-04-18,8060,8060,8060,8060,1020,VMD
69,2014-04-21,7910,7910,7910,7910,2000,VMD
